asin	product_title	product_price	unit_price	unit_count	product_original_price	currency	product_star_rating	product_num_ratings	product_url	product_photo	product_num_offers	product_minimum_offer_price	is_best_seller	is_amazon_choice	is_prime	climate_pledge_friendly	sales_volume	delivery	has_variations	product_badge	product_byline	coupon_text
B0BWYRT7T5	Nutri R Nutrimed 200ml - Caixa com 12 unidades	R$ 221,6	R$ 221,6	1.0		BRL	4.7	27	https://www.amazon.com.br/dp/B0BWYRT7T5	https://m.media-amazon.com/images/I/61MIipxEgpL._AC_UL960_FMwebp_QL65_.jpg	1	R$ 221,6	False	False	False	False	Mais de 30 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False		Baunilha	
B0DGY5B4S3	Bionatural Prime - Salmão Gatos Castrados 7,5k	R$ 213,8	R$ 213,8	1.0		BRL	4.7	11	https://www.amazon.com.br/dp/B0DGY5B4S3	https://m.media-amazon.com/images/I/513VSVlTVJL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 176,9	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0BPN33P67	Organnact Suplemento Rennapro Dog 120G	R$ 205,2	R$ 205,2	1.0		BRL	4.7	41	https://www.amazon.com.br/dp/B0BPN33P67	https://m.media-amazon.com/images/I/61oEwnDzglL._AC_UL960_FMwebp_QL65_.jpg	5	R$ 189,9	False	False	False	False		Entrega GRÁTIS: qui., 31 de jul	False			
B0DH9T3QHL	Bionatural Prime - Salmão Gatos Adultos 7,5k	R$ 204,0	R$ 204,0	1.0		BRL	5	18	https://www.amazon.com.br/dp/B0DH9T3QHL	https://m.media-amazon.com/images/I/51xW+f1bagL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 169,9	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B07Z5GDZYW	Solução Oral Maxi/Guard para Cães e Gatos Cleansing Gel 11	R$ 201,2	R$ 1.705,2		R$ 214,3	BRL	4.4	42	https://www.amazon.com.br/dp/B07Z5GDZYW	https://m.media-amazon.com/images/I/51TW7-C2boL._AC_UL960_FMwebp_QL65_.jpg	3	R$ 170,7	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
B0C2QLP6L8	ADVOCATE DOG 2,5 ML X 3 (Cães de 10Kg até 25Kg) - COM	R$ 201,1	R$ 201,1	1.0		BRL	4.8	26	https://www.amazon.com.br/dp/B0C2QLP6L8	https://m.media-amazon.com/images/I/51XQviKE5IL._AC_UL960_FMwebp_QL65_.jpg	5	R$ 196,0	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B0C2QLP6L8	ADVOCATE DOG 2,5 ML X 3 (Cães de 10Kg até 25Kg) - COM	R$ 201,1	R$ 201,1	1.0		BRL	4.8	26	https://www.amazon.com.br/dp/B0C2QLP6L8	https://m.media-amazon.com/images/I/51XQviKE5IL._AC_UL960_FMwebp_QL65_.jpg	5	R$ 196,0	False	False	False	False	Mais de 20 compras no mês passad	Entrega GRÁTIS: dom., 20 de jul	False			
B08DV67QVG	6 Unidades Fenzol Pet 500mg Vermífugo Cães C/ 6 Comp. Agen	R$ 199,0				BRL	4.8	11	https://www.amazon.com.br/dp/B08DV67QVG	https://m.media-amazon.com/images/I/71D0ODtRz7L._AC_UL960_FMwebp_QL65_.jpg	3	R$ 198,0	False	False	False	False		Entrega GRÁTIS: sex., 1 de ago	False			
B0D7MPS3P1	Caixa de Transporte Pet Gatos e Cães Pequeno Médio e Grandes (Azul, Nº4 até 1	R$ 195,0	R$ 195,0	1.0		BRL	4.6	149	https://www.amazon.com.br/dp/B0D7MPS3P1	https://m.media-amazon.com/images/I/71eBI4PVH5L._AC_UL960_FMwebp_QL65_.jpg	1	R$ 195,0	False	False	False	False		Entrega GRÁTIS: ter., 5 de ago	False			
B07XNKXN2L	Ração para Cães Fracionada Premiatta Wheyhd Raças Pequenas Sabor Frango, 6kg (30 x 2	R$ 194,9	R$ 32,5	6.0		BRL	4.7	240	https://www.amazon.com.br/dp/B07XNKXN2L	https://m.media-amazon.com/images/I/51ak+4h3E9L._AC_UL960_FMwebp_QL65_.jpg	8	R$ 173,9	False	False	False	False	Mais de 50 compras no mês passad	Entrega GRÁTIS: seg., 21 de jul	False			
