asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_byline,coupon_text,unit_price,unit_count,product_badge
B07DW1X346,"Fortifying Lotion, Keune","R$ 259,90",,BRL,4.3,49,https://www.amazon.com.br/dp/B07DW1X346,https://m.media-amazon.com/images/I/412O14dVFwL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 259,90",False,False,False,False,,"Entrega R$ 23,24: 5 - 6 de ago.Ou entrega mais rápida: 18 - 24 de jul.",False,,,,,
B08LHD59GZ,"Kit Amend - Cachos Ondulados e Abertos (4 Produtos): Define, Nutre, Hidrata e Fortalece enquanto Limpa, Desembaraça e Controla o Frizz","R$ 154,60","R$ 169,19",BRL,4.8,30,https://www.amazon.com.br/dp/B08LHD59GZ,https://m.media-amazon.com/images/I/71OICVTavQL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 154,60",False,False,False,False,,Entrega GRÁTIS: 13 - 22 de ago.,False,,,"R$ 38,65",4.0,
B07MJHZ68Q,Taiff Chapinha Cerâmica 180° Bivolt,"R$ 128,99","R$ 139,99",BRL,4.7,148,https://www.amazon.com.br/dp/B07MJHZ68Q,https://m.media-amazon.com/images/I/51AjyHEdFtL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 128,99",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,Economize 7%
B09QQPT1W4,Bio-Hidrat Creme Hidratante Facial - 45g,"R$ 106,00",,BRL,4.6,48,https://www.amazon.com.br/dp/B09QQPT1W4,https://m.media-amazon.com/images/I/51YBwcZvavL._AC_UL960_FMwebp_QL65_.jpg,4,"R$ 99,20",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,"R$ 2,36",45.0,
B0BYTLMSV2,Kit Bio Queravit Shampoo Condicionador 250ml Máscara 250g Mega Spray,"R$ 149,90",,BRL,4.5,21,https://www.amazon.com.br/dp/B0BYTLMSV2,https://m.media-amazon.com/images/I/61n8BVvZqLL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 149,90",False,False,False,False,,"Entrega GRÁTIS: dom., 20 de jul.",False,,,"R$ 149,90",1.0,
B07MR3H8NY,"Lancôme, Idôle EDP, Perfume Feminino","R$ 379,99","R$ 423,86",BRL,4.6,5343,https://www.amazon.com.br/dp/B07MR3H8NY,https://m.media-amazon.com/images/I/61oavRYmb3L._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 379,99",False,True,True,False,Mais de 100 compras no mês passado,,False,Sândalo,,,,Escolha
B086TZ9GW6,"KEMEI Aparador de cabelo masculino sem fio, barbeiro, profissional, visor LCD, 0 mm, cortador de barba careca elétrico recarregável por USB Prata(XSH-5027)","R$ 126,99",,BRL,4.5,554,https://www.amazon.com.br/dp/B086TZ9GW6,https://m.media-amazon.com/images/I/61+oi651acL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 126,99",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: ter., 22 de jul.",False,,,,,
B08LDYS439,Forever Liss Zero Btox Máscara ultra hidratante orgânica antifrizz 1 kg,"R$ 139,99","R$ 149,99",BRL,4.7,429,https://www.amazon.com.br/dp/B08LDYS439,https://m.media-amazon.com/images/I/51OWNaU-UkL._AC_UL960_FMwebp_QL65_.jpg,19,"R$ 139,90",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: seg., 21 de jul.",False,Sem perfume,,"R$ 0,14",1000.0,
B0DHD73NFS,Eudora Kit Siàge Revela os Cachos: Shampoo 250ml + Máscara 250g + Condicionador 200ml,"R$ 120,70",,BRL,5,2,https://www.amazon.com.br/dp/B0DHD73NFS,https://m.media-amazon.com/images/I/61fUPsyrDHL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 120,70",False,False,False,False,Mais de 40 compras no mês passado,Entrega GRÁTIS: 5 - 13 de ago.,False,,,"R$ 120,70",1.0,
B0D9MSVB76,GA.MA ITALY Escova Secadora Lichia 3D Bivolt,"R$ 269,90",,BRL,4.5,27,https://www.amazon.com.br/dp/B0D9MSVB76,https://m.media-amazon.com/images/I/61d5iUri8oL._AC_UL960_FMwebp_QL65_.jpg,3,"R$ 142,61",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: ter., 22 de jul.",False,,,,,
B0BS3Z972R,Natura KAIAK OCEANO DESODORANTE COLONIA MASCULINO 100ML,"R$ 105,00",,BRL,4.7,90,https://www.amazon.com.br/dp/B0BS3Z972R,https://m.media-amazon.com/images/I/61vqc-sZbhL._AC_UL960_FMwebp_QL65_.jpg,19,"R$ 105,00",False,False,False,False,Mais de 20 compras no mês passado,,False,,,,,
B00021AKJI,"Calvin Klein Eternity Masculino Eau De Toilette, Calvin Klein Eternity","R$ 320,00","R$ 354,88",BRL,4.5,7259,https://www.amazon.com.br/dp/B00021AKJI,https://m.media-amazon.com/images/I/61Lzyg-FgQL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 320,00",False,False,False,False,Mais de 400 compras no mês passado,"Entrega R$ 31,42: 23 - 25 de jul.Ou entrega mais rápida: 18 - 21 de jul.",False,Aromático,,,,
B08KGN5QLJ,Versace Dylan Turquoise Pour Femme Spray feminino EDT 30 ml,"R$ 269,85","R$ 349,00",BRL,4.5,249,https://www.amazon.com.br/dp/B08KGN5QLJ,https://m.media-amazon.com/images/I/713tI5kHsaL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 269,85",False,False,True,False,,,False,"cedro, fresco, limão",,,,Com Prime
B002BADJVE,BB Cream M Perfect Cover Missha Natural Beige - 23,"R$ 118,00","R$ 138,90",BRL,4.6,2873,https://www.amazon.com.br/dp/B002BADJVE,https://m.media-amazon.com/images/I/71tKpa+cwYL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 118,00",False,False,False,False,Mais de 50 compras no mês passado,"Entrega R$ 27,27: 29 - 31 de jul.",False,,,"R$ 118,00",1.0,
B01M27OFG0,"Concealer Circle, Kryolan","R$ 367,60",,BRL,4.5,104,https://www.amazon.com.br/dp/B01M27OFG0,https://m.media-amazon.com/images/I/61r3V6NZwnL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 367,60",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",True,,,,,
B0C2JHS29X,Fusion - Condicionador 200ml,"R$ 109,90",,BRL,4.8,11,https://www.amazon.com.br/dp/B0C2JHS29X,https://m.media-amazon.com/images/I/410bVqkQ5mL._AC_UL960_FMwebp_QL65_.jpg,17,"R$ 109,00",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,
B07WS2HX2H,Máquina De Cortar Cabelo Profissional Aparador Kemei Km-1995,"R$ 124,49",,BRL,4.5,594,https://www.amazon.com.br/dp/B07WS2HX2H,https://m.media-amazon.com/images/I/51ciDi7xvrL._AC_UL960_FMwebp_QL65_.jpg,14,"R$ 106,40",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: ter., 22 de jul.",False,,,,,
B0B4KGX7XV,BLUR C FPS 98 | PPD 34-18H DE PROTEÇÃO (natural),"R$ 215,91",,BRL,4.5,9,https://www.amazon.com.br/dp/B0B4KGX7XV,https://m.media-amazon.com/images/I/51tj7lof+0L._AC_UL960_FMwebp_QL65_.jpg,8,"R$ 214,00",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,"R$ 215,91",1.0,
B08129J1WH,Wella Professionals Eimi Thermal Image Proteção Térmica Spray 150ml,"R$ 139,99",,BRL,4.3,9,https://www.amazon.com.br/dp/B08129J1WH,https://m.media-amazon.com/images/I/312WtnLVQ2L._AC_UL960_FMwebp_QL65_.jpg,2,"R$ 117,99",False,False,False,False,,"Entrega GRÁTIS: ter., 22 de jul.",False,,,"R$ 139,99",1.0,
B07DW1X346,"Fortifying Lotion, Keune","R$ 259,90",,BRL,4.3,49,https://www.amazon.com.br/dp/B07DW1X346,https://m.media-amazon.com/images/I/412O14dVFwL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 259,90",False,False,False,False,,"Entrega R$ 23,24: 5 - 6 de ago.Ou entrega mais rápida: 18 - 24 de jul.",False,,,,,
B08LHD59GZ,"Kit Amend - Cachos Ondulados e Abertos (4 Produtos): Define, Nutre, Hidrata e Fortalece enquanto Limpa, Desembaraça e Controla o Frizz","R$ 154,60","R$ 169,19",BRL,4.8,30,https://www.amazon.com.br/dp/B08LHD59GZ,https://m.media-amazon.com/images/I/71OICVTavQL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 154,60",False,False,False,False,,Entrega GRÁTIS: 13 - 22 de ago.,False,,,"R$ 38,65",4.0,
B07MJHZ68Q,Taiff Chapinha Cerâmica 180° Bivolt,"R$ 128,99","R$ 139,99",BRL,4.7,148,https://www.amazon.com.br/dp/B07MJHZ68Q,https://m.media-amazon.com/images/I/51AjyHEdFtL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 128,99",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,Economize 7%
